arm,outcome,model,AUROC,AUROC_lci,AUROC_uci,AUPRC,Brier_raw,Brier_recal,Cal_intercept_raw,Cal_slope_raw,Cal_slope_recal,EO_ratio_raw,EO_ratio_recal
clinical,neonatal,catboost,0.7599871875777351,0.7436087906431265,0.7768851154138694,0.15296036021308757,0.16073110302929183,0.011584879629316964,-4.265725738558317,1.0567763647018478,0.9209806938942753,0.03426480729296152,0.9863825071351298
clinical,neonatal,lightgbm,0.7635216154671116,0.7473532534914623,0.7792553935420982,0.16134143154402147,0.1640721676247679,0.011509779345423136,-4.293451497941394,1.052766080677977,0.9499452099109207,0.033763902442806616,0.9835994945649017
clinical,neonatal,logistic,0.7346625739375241,0.7171000527987544,0.7523876791393415,0.1312470289002475,0.1848548694671864,0.011788275910637963,-4.330226031491765,1.181948050889721,0.95331787111288,0.031933994616209924,0.9885422839067087
clinical,neonatal,mlp,0.7523591341785159,0.7364256692233894,0.7690787378014246,0.16144686154779203,0.17507140694457826,0.011523974682385276,-4.372240193314396,0.9209882574326808,0.9498573495288665,0.032659857182507517,0.9863143280239289
clinical,neonatal,naive_bayes,0.7097494762140943,0.6924652558398682,0.7265321597911011,0.07001101102364178,0.5442914161441912,0.01237211940963976,-4.852042307449385,0.16104224300054235,0.9531639922883672,0.019743030111579792,0.9924693665451282
clinical,neonatal,random_forest,0.7555033609287265,0.7388328076685944,0.7718144812677279,0.14626604513486238,0.11114210585035475,0.011798360949925299,-3.7860197818671537,1.1641344856477631,0.7494928998545854,0.043030545004945395,0.9954111795132663
clinical,neonatal,svm,0.7310807323936862,0.7136691536440555,0.7479322333700632,0.1169439910950077,0.15349467456663288,0.01221083840734335,-4.2944357555324535,0.32198812911501185,0.9955626289089147,0.03564356638575482,0.9970115454989184
clinical,neonatal,xgboost,0.7673682761856525,0.7510628709255853,0.7828681205414979,0.17088735972737767,0.011428977104243804,0.011448988031572186,0.06536028617546343,1.0252939011868738,0.9263390572177428,0.9745263474758823,0.9852953269804087
clinical,perinatal,catboost,0.7327721447236275,0.7263190706258783,0.7392641768551533,0.2122157749573404,0.20170480326290566,0.05126025698757061,-2.7570902893029148,1.0796328755324789,0.9651550220676358,0.13768610307866927,0.9931438910433373
clinical,perinatal,lightgbm,0.7318376110994833,0.7252629364920046,0.7385042378063535,0.2149600092389728,0.1988631910145067,0.05122045838271945,-2.74106264658604,1.0541919100858965,0.9198713780362833,0.13943256252100514,0.992603276504636
clinical,perinatal,logistic,0.7097505589785105,0.7027588987745285,0.7167430757655221,0.16404004539759806,0.21391288875759162,0.05290784345602352,-2.7701138460249806,0.958583646682522,1.0228503365428008,0.13239163028662176,0.9940904053375731
clinical,perinatal,mlp,0.7299189649606953,0.7234223348587621,0.7364418585293185,0.20876219744179675,0.19983396201976125,0.05139461073572486,-2.722983195196778,1.158490699174543,0.9827297629269738,0.1381603362131061,0.9923396067059604
clinical,perinatal,naive_bayes,0.6644463480679497,0.6571869911968498,0.671394251143905,0.1293486898578295,0.14211401168641694,0.05398494962438476,-2.4871689021794903,0.13128355825818683,1.0118908967843652,0.3077256114965595,0.9968638600183449
clinical,perinatal,random_forest,0.7312598987546528,0.7247066929314375,0.738059101982943,0.20927151166347477,0.19835622540845443,0.05140105325688889,-2.7143674783184664,1.2222257030853705,0.9251789601241699,0.13854685777841197,0.992777117153143
clinical,perinatal,svm,0.7065451976074939,0.6996743902342666,0.7136598966295463,0.16296443634202767,0.2267514387706672,0.05449682106374318,-2.8043462796295118,0.244426705877048,1.0575271793289158,0.12738137668691213,0.9976007451560766
clinical,perinatal,xgboost,0.7321080122468161,0.7258332037990695,0.738842309052741,0.21381141747147275,0.05120135221552813,0.05124271857109443,0.06274462648835102,1.0340491173815105,0.942076248742819,0.9816395160512195,0.9919228620295386
clinical,stillbirth,catboost,0.7480172045451178,0.7409041426183153,0.7549758911126743,0.18352305550251274,0.19743637792736773,0.04255641317587874,-2.9695985922057715,1.0388626934371183,0.9290949635671134,0.11595613882871307,0.9862731442011465
clinical,stillbirth,lightgbm,0.7463323412077956,0.7390356802393037,0.7532807259506551,0.18117722690020877,0.19667842975720876,0.04263755082207743,-2.9637599746750665,1.0455987772716153,0.9089447455107005,0.11608844752518531,0.9850442198694762
clinical,stillbirth,logistic,0.7188250779178993,0.711331720763623,0.7257857565829882,0.14061788561810468,0.2126851056840161,0.043722418557672574,-2.9933439570990448,0.9187913265281222,1.0122242581931693,0.10951435160246001,0.9890657065291668
clinical,stillbirth,mlp,0.7414769578981484,0.7340900125344528,0.7485509210217013,0.17042010981314476,0.20653908098062013,0.04289928880772842,-3.00316265177212,1.0691742358645822,0.9802249222050795,0.11227225371890892,0.9872878330316618
clinical,stillbirth,naive_bayes,0.6739444961088967,0.6668506122664231,0.6813371310508026,0.10138155514838389,0.11871576101474575,0.04465514743898791,-2.6763710976263746,0.1207424335874237,1.0388528249060545,0.29217778980080994,0.9949004569546432
clinical,stillbirth,random_forest,0.7470631218106097,0.7399322056792705,0.7540559452632307,0.1736820274694102,0.19312171378375764,0.04281420135272915,-2.9170069259244147,1.1763727840672187,0.8982508227366898,0.11682086465597949,0.9878055125322177
