arm,outcome,model,subgroup_var,subgroup_level,N,events,AUROC,calibration_slope,calibration_intercept,TPR,FPR,positive_rate,equal_opportunity_diff,demographic_parity_diff,equalised_odds_diff
survey,perinatal,logistic,mat_age_cat,<20,33059.0,1200.0,0.5830071957688565,1.1550432874657792,0.8972425470643193,0.24833333333333332,0.15521516682883957,0.15859523881545115,,,
survey,perinatal,logistic,mat_age_cat,>=35,45371.0,1960.0,0.6158109025785339,0.9122387849918868,-0.1541827280913416,0.7494897959183674,0.5945036972195987,0.6011990037689273,,,
survey,perinatal,logistic,mat_urban_rural,Rural,166643.0,5229.0,0.5998200426346431,1.0111675494706087,0.05399032886109732,0.47408682348441383,0.33808715476972256,0.34235461435523845,,,
survey,perinatal,logistic,mat_urban_rural,Urban,71434.0,2116.0,0.6075749745931343,0.9183685399702095,-0.2537465617316791,0.40359168241965976,0.25711936293603393,0.26145812918218214,,,
survey,perinatal,logistic,hh_wealth_quintile,Q1,64092.0,1993.0,0.60594019195043,1.0191581656479443,0.05429203023511419,0.4922227797290517,0.3482503744021643,0.3527273294638956,,,
survey,perinatal,logistic,hh_wealth_quintile,Q2,56142.0,1869.0,0.6047798677705285,0.910909094476697,-0.26005257742665716,0.5189941144997324,0.3689864205037496,0.3739802643297353,,,
survey,perinatal,logistic,hh_wealth_quintile,Q3,52100.0,1679.0,0.6138509521124567,1.0133595644152669,0.0456431258469025,0.5092316855270994,0.36298367743598897,0.36769673704414585,,,
survey,perinatal,logistic,hh_wealth_quintile,Q4,44960.0,1529.0,0.6329503829917535,1.0572619838603923,0.21335359008455793,0.57946370176586,0.38723492436278234,0.3937722419928826,,,
survey,perinatal,logistic,hh_wealth_quintile,Q5,37573.0,1199.0,0.6092099302157601,0.9166876729088971,-0.2589825322140425,0.47289407839866554,0.31940396986858743,0.324302025390573,,,
survey,perinatal,logistic,mat_age_cat,_DISPARITY_,,,,,,,,,0.5011564625850341,0.4426037649534762,0.5011564625850341
survey,perinatal,logistic,mat_urban_rural,_DISPARITY_,,,,,,,,,0.07049514106475407,0.08089648517305631,0.08096779183368863
survey,perinatal,logistic,hh_wealth_quintile,_DISPARITY_,,,,,,,,,0.1065696233671945,0.06947021660230956,0.1065696233671945
survey,perinatal,mlp,mat_age_cat,20-34,176575.0,5111.0,0.6208407102354785,0.9248898367966022,-0.25358049414631656,0.41420465662297007,0.2559137778192507,0.26049554013875126,,,
survey,perinatal,mlp,mat_age_cat,<20,33059.0,1200.0,0.5938790844031514,1.0521706890918046,0.34709764678513805,0.44583333333333336,0.32634420414953386,0.3306815088175686,,,
survey,perinatal,mlp,mat_age_cat,>=35,45371.0,1960.0,0.6372789754219165,0.8788857762047237,-0.41058677160497803,0.811734693877551,0.6436387090829513,0.6509003548522184,,,
survey,perinatal,mlp,mat_urban_rural,Rural,166643.0,5229.0,0.6260229083762553,0.9195541559403468,-0.25601209279409665,0.4901510805125263,0.3203067887543831,0.32563624034612915,,,
survey,perinatal,mlp,mat_urban_rural,Urban,71434.0,2116.0,0.6188975832375172,0.8447489268473969,-0.5010328811185387,0.3818525519848771,0.2302432268674803,0.2347341602038245,,,
survey,perinatal,mlp,hh_wealth_quintile,Q1,64092.0,1993.0,0.6306663371559714,0.9243124183099148,-0.25758916448277247,0.49724034119417965,0.31862026763716,0.3241746239780316,,,
survey,perinatal,mlp,hh_wealth_quintile,Q2,56142.0,1869.0,0.628122191677911,0.9119973261160521,-0.2579462075484749,0.5334403424291064,0.35625449118346136,0.36215311175234227,,,
survey,perinatal,mlp,hh_wealth_quintile,Q3,52100.0,1679.0,0.6333643857492988,0.9196098815368899,-0.2573048994403713,0.4669446098868374,0.2924773407905436,0.29809980806142033,,,
survey,perinatal,mlp,hh_wealth_quintile,Q4,44960.0,1529.0,0.6413600298370633,0.94283574593562,-0.13830433925423397,0.5618051013734467,0.3647164467776473,0.37141903914590746,,,
survey,perinatal,mlp,hh_wealth_quintile,Q5,37573.0,1199.0,0.618141318256407,0.7932446367335169,-0.7099736102426133,0.5104253544620517,0.34373453565733764,0.3490538418545232,,,
survey,perinatal,mlp,mat_age_cat,_DISPARITY_,,,,,,,,,0.39753003725458097,0.39040481471346716,0.39753003725458097
survey,perinatal,mlp,mat_urban_rural,_DISPARITY_,,,,,,,,,0.10829852852764921,0.09090208014230464,0.10829852852764921
survey,perinatal,mlp,hh_wealth_quintile,_DISPARITY_,,,,,,,,,0.09486049148660936,0.07331923108448712,0.09486049148660936
clinical,stillbirth,svm,mat_age_cat,20-34,70303.0,3237.0,0.7136536437748084,1.0428309660256612,0.06547578988272965,0.7028112449799196,0.38400978140935793,0.3986885339174715,,,
clinical,stillbirth,svm,mat_age_cat,<20,18816.0,747.0,0.7040724745236966,0.9785553490685579,-0.21984910484555978,0.47657295850066933,0.23177818362942054,0.24149659863945577,,,
clinical,stillbirth,svm,mat_age_cat,>=35,10786.0,792.0,0.7116169322805805,0.9596864344594404,0.26260942337825927,0.8005050505050505,0.5029017410446268,0.5247543111440757,,,
clinical,stillbirth,svm,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.7278894002857972,3.2076496166522106,6.434155112548245,0.6314779270633397,0.3254578374046481,0.3368482718219098,,,
clinical,stillbirth,svm,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.6554628030448411,2.320509961938627,4.3559754985494115,0.45987654320987653,0.24082901554404146,0.25461254612546125,,,
clinical,stillbirth,svm,mat_delivery_mode,Caesarean,19072.0,931.0,0.6637437755602359,1.6240171424062875,1.9359278338250299,0.6562835660580022,0.42191720412325673,0.43335780201342283,,,
