arm,outcome,model,cohort,N_external,cases_external,AUROC,AUPRC,Brier_raw,Brier_recal,Cal_slope_raw,Cal_slope_recal
survey,neonatal,catboost,bangladesh,23470,461,0.6361047629292282,0.05374550348043387,0.14249468573679058,0.019035710841530787,1.2125320735271812,1.1028464403142617
survey,neonatal,lightgbm,bangladesh,23470,461,0.6433537418961495,0.05319057817418171,0.14695977126372045,0.019045769479963347,1.1724063554931736,1.0728468574048766
survey,neonatal,logistic,bangladesh,23470,461,0.6240577934749479,0.05955009127172573,0.1395130202899992,0.019065005066476685,1.153903263287285,1.1381405133681832
survey,neonatal,mlp,bangladesh,23470,461,0.638523037623022,0.05709805448009741,0.19311864596133166,0.018996712279912585,1.0945975391826335,1.0589001197525687
survey,neonatal,naive_bayes,bangladesh,23470,461,0.5486695812418586,0.03659024699901855,0.034685953283448936,0.019132602150956433,0.06758795253792423,0.7854274701777052
survey,neonatal,random_forest,bangladesh,23470,461,0.61583711136706,0.05757340411377914,0.16349802291926624,0.01905394072674006,1.399377315499713,1.039007394408635
survey,neonatal,svm,bangladesh,23470,461,0.6241092681926124,0.05996120285731186,0.1741699288972337,0.019155046589966508,1.2588898914665643,2.4519284009531113
survey,neonatal,xgboost,bangladesh,23470,461,0.6457953027717439,0.0588481549314371,0.019041655637311868,0.019033449411499707,1.298121570224725,1.2185945684353923
survey,perinatal,catboost,bangladesh,24156,1147,0.6013139621685506,0.07712314607981008,0.19135116744310976,0.04544448603442229,1.2325115610633863,1.1105575282798563
survey,perinatal,lightgbm,bangladesh,24156,1147,0.6136051231687021,0.07932384410329606,0.20919154841541188,0.045286000688440395,1.1865966876759593,1.0095894196041568
survey,perinatal,logistic,bangladesh,24156,1147,0.6034119433876051,0.0783860837135463,0.16895833908982327,0.04562647602713301,1.1895557083094936,1.2087836872152184
survey,perinatal,mlp,bangladesh,24156,1147,0.5714600779960898,0.0724473858016032,0.16375668628342832,0.04566530355959359,0.8698457501482393,0.8641820787536206
survey,perinatal,naive_bayes,bangladesh,24156,1147,0.5403289558465864,0.06740196344934399,0.9524309709982633,0.04560822140842926,0.023672779227339725,0.9934330820492979
survey,perinatal,random_forest,bangladesh,24156,1147,0.6029868036551256,0.07819658885791353,0.18209255851342487,0.045554401746535765,1.3478646206425096,0.9965721885666736
survey,perinatal,svm,bangladesh,24156,1147,0.6135061701908616,0.08081349728723522,0.23026844119321782,0.04526771649549916,1.3113616360865206,1.3458448943603802
survey,perinatal,xgboost,bangladesh,24156,1147,0.5976499738190466,0.0766386700639418,0.045428400901477935,0.04546361457438314,1.1106315832873754,0.9781542248030028
survey,stillbirth,catboost,bangladesh,24156,686,0.63560708354192,0.05076451575665369,0.24720171200420885,0.027591615011986786,1.0683664640980166,0.9351763541679486
survey,stillbirth,lightgbm,bangladesh,24156,686,0.6352767194893052,0.050616804264289945,0.25535058299947383,0.027559963663629956,1.0567178359281675,0.9444729791630355
survey,stillbirth,logistic,bangladesh,24156,686,0.6542345479186258,0.05313244713440836,0.38443361683787974,0.027394300193052463,1.8011706891920098,1.7308173547175714
survey,stillbirth,mlp,bangladesh,24156,686,0.6578181811406162,0.054202830319329445,0.5465990274505017,0.03095698469065477,0.8949989497158639,0.7299118034323012
